filename,doi,guest_molecule,KD_A,PLD_A,guest_composition,zeolite_name,std_zeolite_name,si_al_ratio,modified_ion,loading_value,loading_unit,diffusion_coefficient_value,diffusion_coefficient_unit,temperature_value,temperature_unit,concentration_value,concentration_unit,adsorption_loading_value,adsorption_loading_unit,pressure_value,pressure_unit,experimental_method,distinguishing_variable,method_type,method_category
S0009261406011055,10.1016/j.cplett.2006.07.102,"2,2-dimethylpropane",6.2,7.42,,AlPO4-5,AFI-H,,,,,1.1e-08,m2/s,300.0,K,,,0.75,dimensionless,,,Molecular Dynamics,λ: 4; coefficient_type: D_Fick,Computational,MD
S0009261406011055,10.1016/j.cplett.2006.07.102,"2,2-dimethylpropane",6.2,7.42,,AlPO4-5,AFI-H,,,,,5.7e-09,m2/s,150.0,K,,,0.75,dimensionless,,,Molecular Dynamics,λ: 8; coefficient_type: D_Fick,Computational,MD
S0009261406011055,10.1016/j.cplett.2006.07.102,"2,2-dimethylpropane",6.2,7.42,,AlPO4-5,AFI-H,,,,,7.5e-09,m2/s,200.0,K,,,0.75,dimensionless,,,Molecular Dynamics,λ: 8; coefficient_type: D_Fick,Computational,MD
S0009261406011055,10.1016/j.cplett.2006.07.102,"2,2-dimethylpropane",6.2,7.42,,AlPO4-5,AFI-H,,,,,1.1e-08,m2/s,300.0,K,,,0.75,dimensionless,,,Molecular Dynamics,λ: 8; coefficient_type: D_Fick,Computational,MD
S0009261406011055,10.1016/j.cplett.2006.07.102,"2,2-dimethylpropane",6.2,7.42,,AlPO4-5,AFI-H,,,,,5.7e-09,m2/s,150.0,K,,,0.75,dimensionless,,,Molecular Dynamics,λ: 16; coefficient_type: D_Fick,Computational,MD
S0009261406011055,10.1016/j.cplett.2006.07.102,"2,2-dimethylpropane",6.2,7.42,,AlPO4-5,AFI-H,,,,,6e-09,m2/s,150.0,K,,,0.75,dimensionless,,,Molecular Dynamics,λ: 16; coefficient_type: D_E,Computational,MD
S0009261406011055,10.1016/j.cplett.2006.07.102,"2,2-dimethylpropane",6.2,7.42,,AlPO4-5,AFI-H,,,,,7.5e-09,m2/s,200.0,K,,,0.75,dimensionless,,,Molecular Dynamics,λ: 16; coefficient_type: D_Fick,Computational,MD
S0009261406011055,10.1016/j.cplett.2006.07.102,"2,2-dimethylpropane",6.2,7.42,,AlPO4-5,AFI-H,,,,,7.5e-09,m2/s,200.0,K,,,0.75,dimensionless,,,Molecular Dynamics,λ: 16; coefficient_type: D_E,Computational,MD
S0009261406011055,10.1016/j.cplett.2006.07.102,"2,2-dimethylpropane",6.2,7.42,,AlPO4-5,AFI-H,,,,,1.1e-08,m2/s,300.0,K,,,0.75,dimensionless,,,Molecular Dynamics,λ: 16; coefficient_type: D_Fick,Computational,MD
S0009261406011055,10.1016/j.cplett.2006.07.102,"2,2-dimethylpropane",6.2,7.42,,AlPO4-5,AFI-H,,,,,1.1e-08,m2/s,300.0,K,,,0.75,dimensionless,,,Molecular Dynamics,λ: 16; coefficient_type: D_E,Computational,MD
S0009261407007130,10.1016/j.cplett.2007.05.109,"buta-1,3-diene",4.5,7.4,,Na-Y,FAU-NaY,,,,,2.4e-09,m2/s,300.0,K,,,4,molecules/cage,,,QENS,model: Hall-Ross,Experimental,QENS
S0009261407007130,10.1016/j.cplett.2007.05.109,"buta-1,3-diene",4.5,7.4,,Na-Y,FAU-NaY,,,,,2.2e-09,m2/s,300.0,K,,,4,molecules/cage,,,QENS,model: Chudley-Elliott,Experimental,QENS
S0009261407007130,10.1016/j.cplett.2007.05.109,"buta-1,3-diene",4.5,7.4,,Na-Y,FAU-NaY,,,,,3e-09,m2/s,300.0,K,,,4,molecules/cage,,,QENS,model: Singwi-Sjolander,Experimental,QENS
S0009261408006489,10.1016/j.cplett.2008.05.003,methane,3.8,4.1,,LTA,LTA,,,,,4.9e-10,m2/s,300.0,K,,,4,molecules/α-cage,,,Molecular Dynamics,computation_type: predicted; source_temperature: 1800 K,Computational,MD
S0009261408006489,10.1016/j.cplett.2008.05.003,methane,3.8,4.1,,LTA,LTA,,,,,4.8e-10,m2/s,300.0,K,,,4,molecules/α-cage,,,Molecular Dynamics,computation_type: simulated,Computational,MD
S0009261408006489,10.1016/j.cplett.2008.05.003,tetrafluoromethane,4.7,4.1,,LTA,LTA,,,,,5.2e-10,m2/s,1300.0,K,,,4,molecules/α-cage,,,Molecular Dynamics,computation_type: predicted; source_temperature: 1800 K,Computational,MD
S0009261408006489,10.1016/j.cplett.2008.05.003,tetrafluoromethane,4.7,4.1,,LTA,LTA,,,,,5.4e-10,m2/s,1300.0,K,,,4,molecules/α-cage,,,Molecular Dynamics,computation_type: simulated,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,ethene,3.9,6.5,,MOR,MOR,,,,,2.65e-10,m2/s,253.0,K,,,,,,,Molecular Dynamics,simulation_type: single,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,ethene,3.9,6.5,,MOR,MOR,,,,,3.62e-10,m2/s,298.0,K,,,,,,,Molecular Dynamics,simulation_type: single,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,ethene,3.9,6.5,,MOR,MOR,,,,,5.02e-10,m2/s,498.0,K,,,,,,,Molecular Dynamics,simulation_type: single,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,ethene,3.9,6.5,,MOR,MOR,,,,,1.33e-09,m2/s,698.0,K,,,,,,,Molecular Dynamics,simulation_type: single,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,ethene,3.9,6.5,,MOR,MOR,,,,,1.68e-09,m2/s,898.0,K,,,,,,,Molecular Dynamics,simulation_type: single,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,ethene,3.9,6.5,,MOR,MOR,,,,,1.99e-09,m2/s,1098.0,K,,,,,,,Molecular Dynamics,simulation_type: single,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,benzene,5.35,6.5,,MOR,MOR,,,,,1.76e-10,m2/s,253.0,K,,,,,,,Molecular Dynamics,simulation_type: single,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,benzene,5.35,6.5,,MOR,MOR,,,,,2.27e-10,m2/s,298.0,K,,,,,,,Molecular Dynamics,simulation_type: single,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,benzene,5.35,6.5,,MOR,MOR,,,,,7.5e-10,m2/s,498.0,K,,,,,,,Molecular Dynamics,simulation_type: single,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,benzene,5.35,6.5,,MOR,MOR,,,,,8.04e-10,m2/s,698.0,K,,,,,,,Molecular Dynamics,simulation_type: single,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,benzene,5.35,6.5,,MOR,MOR,,,,,1.02e-09,m2/s,898.0,K,,,,,,,Molecular Dynamics,simulation_type: single,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,benzene,5.35,6.5,,MOR,MOR,,,,,8.56e-10,m2/s,1098.0,K,,,,,,,Molecular Dynamics,simulation_type: single,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,ethene,3.9,4.7,,MFI,MFI,,,,,2.21e-10,m2/s,253.0,K,,,,,,,Molecular Dynamics,simulation_type: single,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,ethene,3.9,4.7,,MFI,MFI,,,,,2.01e-10,m2/s,298.0,K,,,,,,,Molecular Dynamics,simulation_type: single,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,ethene,3.9,4.7,,MFI,MFI,,,,,5.99e-10,m2/s,498.0,K,,,,,,,Molecular Dynamics,simulation_type: single,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,ethene,3.9,4.7,,MFI,MFI,,,,,5.61e-10,m2/s,698.0,K,,,,,,,Molecular Dynamics,simulation_type: single,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,ethene,3.9,4.7,,MFI,MFI,,,,,1.17e-09,m2/s,898.0,K,,,,,,,Molecular Dynamics,simulation_type: single,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,ethene,3.9,4.7,,MFI,MFI,,,,,9.39e-10,m2/s,1098.0,K,,,,,,,Molecular Dynamics,simulation_type: single,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,benzene,5.35,4.7,,MFI,MFI,,,,,1.69e-11,m2/s,253.0,K,,,,,,,Molecular Dynamics,simulation_type: single,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,benzene,5.35,4.7,,MFI,MFI,,,,,1.55e-11,m2/s,298.0,K,,,,,,,Molecular Dynamics,simulation_type: single,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,benzene,5.35,4.7,,MFI,MFI,,,,,1.63e-11,m2/s,498.0,K,,,,,,,Molecular Dynamics,simulation_type: single,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,benzene,5.35,4.7,,MFI,MFI,,,,,2.09e-11,m2/s,698.0,K,,,,,,,Molecular Dynamics,simulation_type: single,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,benzene,5.35,4.7,,MFI,MFI,,,,,1.52e-11,m2/s,898.0,K,,,,,,,Molecular Dynamics,simulation_type: single,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,benzene,5.35,4.7,,MFI,MFI,,,,,2.45e-11,m2/s,1098.0,K,,,,,,,Molecular Dynamics,simulation_type: single,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,ethene,3.9,7.0,,CON,CON,,,,,3.42e-10,m2/s,253.0,K,,,,,,,Molecular Dynamics,simulation_type: single,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,ethene,3.9,7.0,,CON,CON,,,,,3.42e-10,m2/s,253.0,K,,,,,,,Molecular Dynamics,simulation_type: single; source: text,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,ethene,3.9,7.0,,CON,CON,,,,,6.15e-10,m2/s,298.0,K,,,,,,,Molecular Dynamics,simulation_type: single,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,ethene,3.9,7.0,,CON,CON,,,,,9.62e-10,m2/s,498.0,K,,,,,,,Molecular Dynamics,simulation_type: single,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,ethene,3.9,7.0,,CON,CON,,,,,9.01e-10,m2/s,698.0,K,,,,,,,Molecular Dynamics,simulation_type: single,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,ethene,3.9,7.0,,CON,CON,,,,,1.5e-09,m2/s,898.0,K,,,,,,,Molecular Dynamics,simulation_type: single,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,ethene,3.9,7.0,,CON,CON,,,,,1.59e-09,m2/s,1098.0,K,,,,,,,Molecular Dynamics,simulation_type: single,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,benzene,5.35,7.0,,CON,CON,,,,,5.88e-11,m2/s,253.0,K,,,,,,,Molecular Dynamics,simulation_type: single,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,benzene,5.35,7.0,,CON,CON,,,,,6.27e-11,m2/s,298.0,K,,,,,,,Molecular Dynamics,simulation_type: single,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,benzene,5.35,7.0,,CON,CON,,,,,6.24e-11,m2/s,498.0,K,,,,,,,Molecular Dynamics,simulation_type: single,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,benzene,5.35,7.0,,CON,CON,,,,,7.15e-11,m2/s,698.0,K,,,,,,,Molecular Dynamics,simulation_type: single,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,benzene,5.35,7.0,,CON,CON,,,,,4.77e-11,m2/s,898.0,K,,,,,,,Molecular Dynamics,simulation_type: single,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,benzene,5.35,7.0,,CON,CON,,,,,5.07e-11,m2/s,1098.0,K,,,,,,,Molecular Dynamics,simulation_type: single,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,methane,3.8,6.5,,MOR,MOR,,,,,1.99e-11,m2/s,253.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,methane,3.8,6.5,,MOR,MOR,,,,,1.77e-11,m2/s,298.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,methane,3.8,6.5,,MOR,MOR,,,,,2.2e-11,m2/s,498.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,ethene,3.9,6.5,,MOR,MOR,,,,,3.24e-10,m2/s,253.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,ethene,3.9,6.5,,MOR,MOR,,,,,7.22e-10,m2/s,298.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,ethene,3.9,6.5,,MOR,MOR,,,,,3.85e-09,m2/s,498.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,propene,4.5,6.5,,MOR,MOR,,,,,5.05e-10,m2/s,253.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,propene,4.5,6.5,,MOR,MOR,,,,,8.38e-10,m2/s,298.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,propene,4.5,6.5,,MOR,MOR,,,,,5.74e-09,m2/s,498.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,propane,4.3,6.5,,MOR,MOR,,,,,4.74e-10,m2/s,253.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,propane,4.3,6.5,,MOR,MOR,,,,,1.11e-09,m2/s,298.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,propane,4.3,6.5,,MOR,MOR,,,,,6.07e-09,m2/s,498.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,water,2.65,6.5,,MOR,MOR,,,,,1.83e-11,m2/s,253.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,water,2.65,6.5,,MOR,MOR,,,,,5.12e-11,m2/s,298.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,water,2.65,6.5,,MOR,MOR,,,,,2.52e-10,m2/s,498.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,benzene,5.35,6.5,,MOR,MOR,,,,,4.44e-10,m2/s,253.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,benzene,5.35,6.5,,MOR,MOR,,,,,1.08e-09,m2/s,298.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,benzene,5.35,6.5,,MOR,MOR,,,,,2.44e-09,m2/s,498.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,methane,3.8,4.7,,MFI,MFI,,,,,1.39e-09,m2/s,253.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,methane,3.8,4.7,,MFI,MFI,,,,,1.51e-09,m2/s,298.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,methane,3.8,4.7,,MFI,MFI,,,,,1.36e-09,m2/s,498.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,ethene,3.9,4.7,,MFI,MFI,,,,,5.35e-10,m2/s,253.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,ethene,3.9,4.7,,MFI,MFI,,,,,6.75e-10,m2/s,298.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,ethene,3.9,4.7,,MFI,MFI,,,,,1.57e-09,m2/s,498.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,propene,4.5,4.7,,MFI,MFI,,,,,3.92e-10,m2/s,253.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,propene,4.5,4.7,,MFI,MFI,,,,,5.2e-10,m2/s,298.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,propene,4.5,4.7,,MFI,MFI,,,,,1.51e-09,m2/s,498.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,propane,4.3,4.7,,MFI,MFI,,,,,3.68e-10,m2/s,253.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,propane,4.3,4.7,,MFI,MFI,,,,,6.45e-10,m2/s,298.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,propane,4.3,4.7,,MFI,MFI,,,,,1.61e-09,m2/s,498.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,water,2.65,4.7,,MFI,MFI,,,,,2.31e-09,m2/s,253.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,water,2.65,4.7,,MFI,MFI,,,,,2.31e-09,m2/s,298.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,water,2.65,4.7,,MFI,MFI,,,,,3.57e-09,m2/s,498.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,benzene,5.35,4.7,,MFI,MFI,,,,,1.76e-10,m2/s,253.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,benzene,5.35,4.7,,MFI,MFI,,,,,2.01e-10,m2/s,298.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,benzene,5.35,4.7,,MFI,MFI,,,,,1.11e-10,m2/s,498.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,methane,3.8,7.0,,CON,CON,,,,,4.84e-09,m2/s,253.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,methane,3.8,7.0,,CON,CON,,,,,2.72e-09,m2/s,298.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,methane,3.8,7.0,,CON,CON,,,,,5.76e-09,m2/s,498.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,ethene,3.9,7.0,,CON,CON,,,,,3.81e-10,m2/s,253.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,ethene,3.9,7.0,,CON,CON,,,,,5.32e-10,m2/s,298.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,ethene,3.9,7.0,,CON,CON,,,,,9.34e-10,m2/s,498.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,propene,4.5,7.0,,CON,CON,,,,,2.98e-10,m2/s,253.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,propene,4.5,7.0,,CON,CON,,,,,2.36e-10,m2/s,298.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,propene,4.5,7.0,,CON,CON,,,,,8.47e-10,m2/s,498.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,propane,4.3,7.0,,CON,CON,,,,,3.37e-10,m2/s,253.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,propane,4.3,7.0,,CON,CON,,,,,3.36e-10,m2/s,298.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,propane,4.3,7.0,,CON,CON,,,,,6.94e-10,m2/s,498.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,water,2.65,7.0,,CON,CON,,,,,3.19e-09,m2/s,253.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,water,2.65,7.0,,CON,CON,,,,,3.5e-09,m2/s,298.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,water,2.65,7.0,,CON,CON,,,,,5.1e-09,m2/s,498.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,benzene,5.35,7.0,,CON,CON,,,,,2.56e-10,m2/s,253.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,benzene,5.35,7.0,,CON,CON,,,,,1.68e-10,m2/s,298.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236121022997,10.1016/j.fuel.2021.122427,benzene,5.35,7.0,,CON,CON,,,,,4.63e-10,m2/s,498.0,K,,,,,,,Molecular Dynamics,simulation_type: multicomponent,Computational,MD
S0016236123013960,10.1016/j.fuel.2023.128783,methoxymethane,4.7,4.7,,HZSM-5,MFI-H,,,,,4.2e-07,m2/s,,,,,,,,,,geometry: spherical,,
S0016236123013960,10.1016/j.fuel.2023.128783,methanol,3.6,4.7,,HZSM-5,MFI-H,,,,,5.3e-07,m2/s,,,,,,,,,,geometry: spherical,,
S0016236123013960,10.1016/j.fuel.2023.128783,water,2.65,4.7,,HZSM-5,MFI-H,,,,,7.4e-07,m2/s,,,,,,,,,,geometry: spherical,,
S0016236123013960,10.1016/j.fuel.2023.128783,methoxymethane,4.7,4.7,,HZSM-5,MFI-H,,,,,4.2e-07,m2/s,,,,,,,,,,geometry: cylindrical,,
S0016236123013960,10.1016/j.fuel.2023.128783,methanol,3.6,4.7,,HZSM-5,MFI-H,,,,,4.5e-07,m2/s,,,,,,,,,,geometry: cylindrical,,
S0016236123013960,10.1016/j.fuel.2023.128783,water,2.65,4.7,,HZSM-5,MFI-H,,,,,1.64e-06,m2/s,,,,,,,,,,geometry: cylindrical,,
S0016236123013960,10.1016/j.fuel.2023.128783,methoxymethane,4.7,4.7,,HZSM-5,MFI-H,,,,,4.2e-07,m2/s,,,,,,,,,,geometry: slab,,
S0016236123013960,10.1016/j.fuel.2023.128783,methanol,3.6,4.7,,HZSM-5,MFI-H,,,,,4.5e-07,m2/s,,,,,,,,,,geometry: slab,,
S0016236123013960,10.1016/j.fuel.2023.128783,water,2.65,4.7,,HZSM-5,MFI-H,,,,,6.4e-07,m2/s,,,,,,,,,,geometry: slab,,
S0016236124004344,10.1016/j.fuel.2024.131287,ethylbenzene,6.0,7.4,,NaY,FAU-NaY,2.4,,,,2.05e-11,m2/s,313.0,K,,,28,molecules/UC,,,Molecular Dynamics,adsorption_mode: single-component,Computational,MD
S0016236124004344,10.1016/j.fuel.2024.131287,octane,4.9,7.4,,NaY,FAU-NaY,2.4,,,,7.24e-10,m2/s,313.0,K,,,18,molecules/UC,,,Molecular Dynamics,adsorption_mode: single-component,Computational,MD
S0016236124004344,10.1016/j.fuel.2024.131287,"ethylbenzene, octane",,7.4,,NaY,FAU-NaY,2.4,,,,6.3e-12,m2/s,313.0,K,,,19,molecules/UC,,,Molecular Dynamics,adsorption_mode: binary-component,Computational,MD
S0016236124004344,10.1016/j.fuel.2024.131287,"ethylbenzene, octane",,7.4,,NaY,FAU-NaY,2.4,,,,1.65e-11,m2/s,313.0,K,,,6,molecules/UC,,,Molecular Dynamics,adsorption_mode: binary-component,Computational,MD
S0016236124004344,10.1016/j.fuel.2024.131287,ethylbenzene,6.0,7.4,,NaY,FAU-NaY,20,,,,1.6e-11,m2/s,313.0,K,,,27,molecules/UC,,,Molecular Dynamics,adsorption_mode: single-component,Computational,MD
S0016236124004344,10.1016/j.fuel.2024.131287,octane,4.9,7.4,,NaY,FAU-NaY,20,,,,4.73e-10,m2/s,313.0,K,,,18.5,molecules/UC,,,Molecular Dynamics,adsorption_mode: single-component,Computational,MD
S0016236124004344,10.1016/j.fuel.2024.131287,"ethylbenzene, octane",,7.4,,NaY,FAU-NaY,20,,,,1.37e-11,m2/s,313.0,K,,,22,molecules/UC,,,Molecular Dynamics,adsorption_mode: binary-component,Computational,MD
S0016236124004344,10.1016/j.fuel.2024.131287,"ethylbenzene, octane",,7.4,,NaY,FAU-NaY,20,,,,6.25e-11,m2/s,313.0,K,,,4,molecules/UC,,,Molecular Dynamics,adsorption_mode: binary-component,Computational,MD
S0016236124004344,10.1016/j.fuel.2024.131287,ethylbenzene,6.0,7.4,,NaY,FAU-NaY,50,,,,1.4e-11,m2/s,313.0,K,,,26,molecules/UC,,,Molecular Dynamics,adsorption_mode: single-component,Computational,MD
S0016236124004344,10.1016/j.fuel.2024.131287,octane,4.9,7.4,,NaY,FAU-NaY,50,,,,4.19e-10,m2/s,313.0,K,,,19,molecules/UC,,,Molecular Dynamics,adsorption_mode: single-component,Computational,MD
S0016236124004344,10.1016/j.fuel.2024.131287,"ethylbenzene, octane",,7.4,,NaY,FAU-NaY,50,,,,2.38e-11,m2/s,313.0,K,,,25,molecules/UC,,,Molecular Dynamics,adsorption_mode: binary-component,Computational,MD
S0016236124004344,10.1016/j.fuel.2024.131287,"ethylbenzene, octane",,7.4,,NaY,FAU-NaY,50,,,,6.82e-11,m2/s,313.0,K,,,2,molecules/UC,,,Molecular Dynamics,adsorption_mode: binary-component,Computational,MD
S0016236124004344,10.1016/j.fuel.2024.131287,ethylbenzene,6.0,7.4,,NaY,FAU-NaY,100,,,,1.36e-11,m2/s,313.0,K,,,26,molecules/UC,,,Molecular Dynamics,adsorption_mode: single-component,Computational,MD
S0016236124004344,10.1016/j.fuel.2024.131287,octane,4.9,7.4,,NaY,FAU-NaY,100,,,,2.48e-10,m2/s,313.0,K,,,18,molecules/UC,,,Molecular Dynamics,adsorption_mode: single-component,Computational,MD
